Year,Tm,Attend/G
2024,New York Mets,26996
2023,New York Mets,31772
2022,New York Mets,31663
2021,New York Mets,18666
2020,New York Mets,
2019,New York Mets,30155
2018,New York Mets,27469
2017,New York Mets,30378
2016,New York Mets,34440
2015,New York Mets,31725
2014,New York Mets,26528
2013,New York Mets,26366
2012,New York Mets,27689
2011,New York Mets,29044
2010,New York Mets,31602
2009,New York Mets,39118
2008,New York Mets,49902
2007,New York Mets,47580
2006,New York Mets,41723
2005,New York Mets,34937
2004,New York Mets,28629
2003,New York Mets,26757
2002,New York Mets,34628
2001,New York Mets,32819
2000,New York Mets,34821
1999,New York Mets,33650
1998,New York Mets,28246
1997,New York Mets,21805
1996,New York Mets,19609
1995,New York Mets,17683
1994,New York Mets,21726
1993,New York Mets,23126
1992,New York Mets,21970
1991,New York Mets,27860
1990,New York Mets,33738
1989,New York Mets,36033
1988,New York Mets,38193
1987,New York Mets,37458
1986,New York Mets,34168
1985,New York Mets,34094
1984,New York Mets,22749
1983,New York Mets,13570
1982,New York Mets,16334
1981,New York Mets,13543
1980,New York Mets,14537
1979,New York Mets,9621
1978,New York Mets,12592
1977,New York Mets,13504
1976,New York Mets,17912
1975,New York Mets,21365
1974,New York Mets,21262
1973,New York Mets,23610
1972,New York Mets,27361
1971,New York Mets,27984
1970,New York Mets,32896
1969,New York Mets,26529
1968,New York Mets,21728
1967,New York Mets,20070
1966,New York Mets,23860
1965,New York Mets,21566
1964,New York Mets,21129
1963,New York Mets,13335
1962,New York Mets,11532