Tm,2023 Attend/G,2024 Attend/G
BOS,32080,32366
CHC,33262,36140
CIN,21778,25190
HOU,37467,33719
KCR,16275,18713
LAD,48203,47523
MIA,12406,12496
NYY,39273,40873
OAK,9961,7279
SDP,40278,39694
SEA,28406,29778
STL,41439,36290
TBR,17550,16159
TEX,28778,32657
WSN,21951,25373
CHW,19804,16801
MIL,29019,30250
ARI,21575,28346
ATL,38810,38166
COL,29667,29021
DET,18277,19901
LAA,32934,30681
BAL,21168,27336
CLE,19511,23727
MIN,22885,21385
NYM,33485,26996
PHI,39383,40833
PIT,18661,20779
SFG,30251,33890
TOR,35953,33554