Team,cap1994,cap2004,cap2014,cap2024
Arizona Diamondbacks,,49033,48633,48330
Atlanta Braves,52013,50096,49586,41084
Baltimore Orioles,48041,48190,45971,44970
Boston Red Sox,34218,35095,37499,37755
Chicago Cubs,38765,39345,41072,41649
Chicago White Sox,44321,40615,40615,40615
Cincinnati Reds,52952,42271,42319,43500
Cleveland Guardians,42865,43389,42487,34830
Colorado Rockies,76273,50445,50398,46897
Detroit Tigers,52416,41070,41681,41083
Houston Astros,53821,40950,42060,41168
Kansas City Royals,40625,40793,37903,37903
Los Angeles Angels,64573,45050,45483,45517
Los Angeles Dodgers,56000,56000,56000,56000
Miami Marlins,47662,36331,36742,36742
Milwaukee Brewers,53192,41900,41900,41900
Minnesota Twins,55883,45423,39021,38544
Montreal Expos,49757,49757,,
New York Mets,55777,57405,41922,41922
New York Yankees,57545,57478,49642,46537
Oakland Athletics,47313,43662,35067,46847
Philadelphia Phillies,62530,43500,43651,42901
Pittsburgh Pirates,47952,38496,38362,38747
San Diego Padres,46510,42445,42302,39860
San Francisco Giants,58000,41503,41915,41265
Seattle Mariners,59166,47447,47476,47929
St. Louis Cardinals,56627,50345,45399,45494
Tampa Bay Rays,,43772,31042,25025
Texas Rangers,49292,49115,48114,40300
Toronto Blue Jays,50516,50516,49282,39150
Washington Nationals,,,41418,41373